2023-12-28 22:12:431 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:113 INFO  ManageBrowser :24 - Login to your account text[[ChromeDriver: chrome on windows (9b9e1358656fef28dcfb15eb62d54364)] -> xpath: //h2[text()='New User Signup!']]
2023-12-28 22:12:91 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:355 INFO  ManageBrowser :24 - New User Signup![[ChromeDriver: chrome on windows (443b89cd37834c2e79da7a38b318c389)] -> xpath: //h2[text()='New User Signup!']]
2023-12-28 22:12:646 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:719 INFO  ManageBrowser :24 - New User Signup![[ChromeDriver: chrome on windows (851b3e4bf95bc337ec01f0d8ae91a975)] -> xpath: //h2[text()='New User Signup!']]
2023-12-28 22:12:111 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:86 INFO  ManageBrowser :24 - Login to your account[[ChromeDriver: chrome on windows (d9234f71468b3a4298985e445a035677)] -> xpath: //h2[text()='New User Signup!']]
2023-12-28 22:12:510 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:05 INFO  ManageBrowser :24 - Login to your account[[ChromeDriver: chrome on windows (611ac234dfc89777196fcce0125c153d)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-28 22:12:721 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 22:12:687 INFO  ManageBrowser :24 - Login to your account[[ChromeDriver: chrome on windows (d3369be966ab8a388a1d3f94b3b8f59b)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-28 22:12:581 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 23:12:425 INFO  ManageBrowser :31 - Chrome Browser Launch....
2023-12-28 23:12:621 INFO  ManageBrowser :24 - Login to your account[[ChromeDriver: chrome on windows (f925643abd72438fbf7344738729bc2f)] -> xpath: //h2[normalize-space()='Login to your account']]
2023-12-28 23:12:744 INFO  ManageBrowser :31 - Chrome Browser Launch....
